timestamp,test_type,samples,p50,p90,p95,p99,p999,max
2026-07-22 15:55:36,TCP,100000,151870,152740,153204,154408,159963,178000
2026-07-22 15:55:56,TCP,100000,151908,152759,153167,154167,158685,336519
2026-07-22 15:56:17,TCP,100000,151944,152815,153296,154351,159593,303148
2026-07-22 15:56:37,TCP,100000,151908,152722,153148,154074,159037,210925
2026-07-22 15:56:57,TCP,100000,151926,152796,153296,154333,159685,1832222
2026-07-22 15:57:17,TCP,100000,151889,152760,153204,154352,159797,183259
2026-07-22 15:57:38,TCP,100000,151908,152796,153296,154518,160093,181629
2026-07-22 15:57:58,TCP,100000,151889,152648,153111,154112,159408,187519
2026-07-22 15:58:18,TCP,100000,151926,152759,153259,154315,159074,183482
2026-07-22 15:58:38,TCP,100000,151871,152649,153074,154056,158574,181981
2026-07-22 15:58:59,TCP,100000,151852,152685,153167,154148,157555,178296
2026-07-22 15:59:19,TCP,100000,151926,152666,153130,154148,159482,194074
2026-07-22 15:59:39,TCP,100000,151982,152778,153315,154259,158685,182297
2026-07-22 15:59:59,TCP,100000,151889,152703,153111,154093,158796,184667
2026-07-22 16:00:19,TCP,100000,151889,152704,153167,154185,158593,184907
2026-07-22 16:00:40,TCP,100000,151759,152593,153018,154315,159222,176074
2026-07-22 16:01:00,TCP,100000,151907,152796,153259,154389,159093,183185
2026-07-22 16:01:20,TCP,100000,151871,152704,153111,154278,159148,185870
2026-07-22 16:01:40,TCP,100000,151852,152723,153223,154481,159426,190260
2026-07-22 16:02:01,TCP,100000,151760,152592,153037,154148,161259,530555
